Data,IOPS
1225,281739
1226,314948
1227,304052
1228,317272
1229,271266
1230,320279
1231,312025
1232,281368
1233,308412
1234,320062
1235,321531
1236,269887
1237,310898
1238,321075
1239,302004
1240,283357
1241,318712
1242,318936
1243,267738
1244,303038
1245,318227
1246,309804
1247,287659
1248,316631
1249,322656
1250,255754
1251,324169
1252,311536
1253,313791
1254,284354
1255,323595
1256,314322
1257,278344
1258,316072
1259,324393
1260,324994
1261,270357
1262,326681
1263,323456
1264,294351
1265,316045
1266,324865
1267,302459
1268,269541
1269,314849
1270,320934
1271,308241
1272,312063
1273,313177
1274,328215
1275,226723
1276,325270
1277,330615
1278,309698
1279,319144
1280,322605
1281,312401
1282,272118
1283,330542
1284,318373
1285,297598
1286,296115
1287,319022
1288,333808
1289,201372
1290,273804
1291,304610
1292,301032
1293,265623
1294,319696
1295,203392
1296,327455
1297,333248
1298,313602
1299,286407
1300,321448
1301,316537
1302,256602
1303,323992
1304,293760
1305,312335
1306,300382
1307,332722
1308,331081
1309,281748
1310,328494
1311,336784
1312,316106
1313,291726
1314,341983
1315,339802
1316,290598
1317,323262
1318,340340
1319,327914
1320,301129
1321,339676
1322,340889
1323,301765
1324,330678
1325,330029
1326,346196
1327,288874
1328,343801
1329,336302
1330,318205
1331,297204
1332,345069
1333,343017
1334,284976
1335,330896
1336,347546
1337,328832
1338,290088
1339,348136
1340,347826
1341,287892
1342,320761
1343,325765
1344,319772
1345,294762
1346,342128
1347,343570
1348,296290
1349,345225
1350,346163
1351,335094
1352,290978
1353,335117
1354,333309
1355,304166
1356,295902
1357,331809
1358,322934
1359,301973
1360,344758
1361,344139
1362,298422
1363,351062
1364,334125
1365,343647
1366,303657
1367,345647
1368,351075
1369,315685
1370,331719
1371,353715
1372,353017
1373,287955
1374,345183
1375,342491
1376,332078
1377,302917
1378,353605
1379,353056
1380,298772
1381,353396
1382,347857
1383,340355
1384,299885
1385,353217
1386,347064
1387,301149
1388,357290
1389,354998
1390,314615
1391,294317
1392,310569
1393,357051
1394,287862
1395,360102
1396,355914
1397,332611
1398,316555
1399,359992
1400,360620
1401,286738
1402,351961
1403,362917
1404,358648
1405,303037
1406,360467
1407,352305
1408,305469
1409,342289
1410,362822
1411,319926
1412,316167
1413,348915
1414,365205
1415,294810
1416,351208
1417,359444
1418,330968
1419,317606
1420,358676
1421,365493
1422,302495
1423,354536
1424,364698
1425,340934
1426,310290
1427,355391
1428,367341
1429,296516
1430,367458
1431,363696
1432,343859
1433,316797
1434,369264
1435,353753
1436,300954
1437,349865
1438,369078
1439,344258
1440,331904
1441,370228
1442,352335
1443,327396
1444,334453
1445,371036
1446,337551
1447,313366
1448,366378
1449,370077
1450,303907
1451,372338
1452,362429
1453,352362
1454,323363
1455,371885
1456,354146
1457,294742
1458,376715
1459,377568
1460,337611
1461,344137
1462,371075
1463,373596
1464,313860
1465,369707
1466,374237
1467,341345
1468,331145
1469,366599
1470,378028
1471,317765
1472,361449
1473,376514
1474,357082
1475,325600
1476,368107
1477,377228
1478,319768
1479,350781
1480,379380
1481,344932
1482,314109
1483,378799
1484,363271
1485,319774
1486,381878
1487,377009
1488,358727
1489,303487
1490,366832
1491,383281
1492,314721
1493,384427
1494,369491
1495,353595
1496,329001
1497,382356
1498,381141
1499,328988
1500,381514
1501,373951
1502,345947
1503,328517
1504,390345
1505,385039
1506,318589
1507,362216
1508,383949
1509,352512
1510,321119
1511,368510
1512,388719
1513,315084
1514,375785
1515,376369
1516,360283
1517,333759
1518,387136
1519,380054
1520,337223
1521,389800
1522,381511
1523,374985
1524,342603
1525,389478
1526,372804
1527,317734
1528,373494
1529,389594
1530,370030
1531,339190
1532,373004
1533,369754
1534,334423
1535,381717
1536,393765
1537,344364
1538,349077
1539,392843
1540,392587
1541,325862
1542,392626
1543,383545
1544,363971
1545,341240
1546,378402
1547,394361
1548,327765
1549,396519
1550,382423
1551,370202
1552,324904
1553,394864
1554,398799
1555,324357
1556,394243
1557,386487
1558,358879
1559,338957
1560,386905
1561,395270
1562,331445
1563,396459
1564,402802
1565,368851
1566,354563
1567,395358
1568,402154
1569,340155
1570,403630
1571,401380
1572,376942
1573,341994
1574,400621
1575,403040
1576,356933
1577,383297
1578,405697
1579,376499
1580,365250
1581,401473
1582,395767
1583,327832
1584,402613
1585,386011
1586,386612
1587,361010
1588,404710
1589,389404
1590,300772
1591,403122
1592,400443
1593,378637
1594,344373
1595,405296
1596,406055
1597,332175
1598,404168
1599,407420
1600,383252
1601,357175
1602,406496
1603,407598
1604,339284
1605,407837
1606,409224
1607,368679
1608,352639
1609,387617
1610,411575
1611,337396
1612,405902
1613,391904
1614,390667
1615,366571
1616,414136
1617,404604
1618,333025
1619,401867
1620,410345
1621,375397
1622,354722
1623,413419
1624,417631
1625,356571
1626,409799
1627,413479
1628,385517
1629,358716
1630,414832
1631,414433
1632,341037
1633,392680
1634,391790
1635,391476
1636,367030
1637,411772
1638,408173
1639,311035
1640,408702
1641,406198
1642,367865
1643,372824
1644,410671
1645,418650
1646,355239
1647,403103
1648,416435
1649,396242
1650,382352
1651,419920
1652,419492
1653,362158
1654,418692
1655,401339
1656,397752
1657,353343
1658,404173
1659,419702
1660,332179
1661,417316
1662,406984
1663,383923
1664,384606
1665,420401
1666,403039
1667,363847
1668,397834
1669,414597
1670,377828
1671,393862
1672,422372
1673,404693
1674,363336
1675,425462
1676,415798
1677,392446
1678,379140
1679,412277
1680,409696
1681,347601
1682,415073
1683,418938
1684,402736
1685,393535
1686,426976
1687,424702
1688,359302
1689,421733
1690,410294
1691,398558
1692,371762
1693,432119
1694,414627
1695,286023
1696,398646
1697,423498
1698,377661
1699,427400
1700,433000
1701,434549
1702,356888
1703,429833
1704,420824
1705,376413
1706,403233
1707,428356
1708,413890
1709,380938
1710,434253
1711,395872
1712,365679
1713,427876
1714,430167
1715,395955
1716,387840
1717,416283
1718,431767
1719,348229
1720,426619
1721,433425
1722,386575
1723,381727
1724,431216
1725,433123
1726,353681
1727,364846
1728,436750
1729,391761
1730,397071
1731,426891
1732,442627
1733,378591
1734,422165
1735,419244
1736,404304
1737,410105
1738,442735
1739,444973
1740,370891
1741,431871
1742,441191
1743,410910
1744,392395
1745,440201
1746,426218
1747,359984
1748,409224
1749,443088
1750,403924
1751,387681
1752,445847
1753,438392
1754,386131
1755,441398
1756,432640
1757,398756
1758,418322
1759,444765
1760,445040
1761,371425
1762,435955
1763,438503
1764,401374
1765,401419
1766,438496
1767,439257
1768,358788
1769,417788
1770,443165
1771,409489
1772,389828
1773,447230
1774,445583
1775,385133
1776,449290
1777,443662
1778,408473
1779,386588
1780,447405
1781,443885
1782,367855
1783,394112
1784,447578
1785,413817
1786,430341
1787,454176
1788,448829
1789,383840
1790,449715
1791,452273
1792,395402
1793,434635
1794,443182
1795,410840
1796,398978
1797,447672
1798,454626
1799,374854
1800,454259
1801,452399
1802,419802
1803,397390
1804,455498
1805,452517
1806,378204
1807,444505
1808,461436
1809,459464
1810,390078
1811,454682
1812,456953
1813,412017
1814,421165
1815,451268
1816,450990
1817,354157
1818,459532
1819,447886
1820,414201
1821,417939
1822,456253
1823,448650
1824,380277
1825,457233
1826,449366
1827,411329
1828,404335
1829,460276
1830,440020
1831,394936
1832,448492
1833,458755
1834,400787
1835,462193
1836,448933
1837,438289
1838,410268
1839,461851
1840,447145
1841,377053
1842,461932
1843,450688
1844,429406
1845,373187
1846,457123
1847,462212
1848,401190
1849,462181
1850,462327
1851,437496
1852,444359
1853,451324
